
0.997592	-2.691498	32.000000
0.978470	-2.640658	0.000000
0.940961	-2.541640	5.333333
0.886505	-2.399554	-0.000000
0.817197	-2.221552	0.000000
0.735698	-2.016261	-0.000000
0.645142	-1.793104	-0.000000
0.549009	-1.561570	-0.000000
0.450991	-1.330485	0.000000
0.354858	-1.107367	0.000000
0.264302	-0.897891	-0.000000
0.182803	-0.705535	0.000000
0.113495	-0.531417	0.000000
0.059039	-0.374351	-0.000000
0.021530	-0.231103	0.000000
0.002408	-0.096831	-0.000000
0.002408	0.034331	0.000000
0.021530	0.168603	0.000000
0.059039	0.311851	-0.000000
0.113495	0.468917	0.000000
0.182803	0.643035	-0.000000
0.264302	0.835391	0.000000
0.354858	1.044867	-0.000000
0.450991	1.267985	-0.000000
0.549009	1.499070	0.000000
0.645142	1.730604	-0.000000
0.735698	1.953761	-0.000000
0.817197	2.159052	0.000000
0.886505	2.337054	0.000000
0.940961	2.479140	-0.000000
0.978470	2.578158	-0.000000
0.997592	2.628998	-0.000000
